,Product Name,Prices
0,Natures American Almonds 1Kg,b'MRP \xe2\x82\xb91299'
1,Healthy Alternatives Organic Walnut..,b'MRP \xe2\x82\xb91399'
2,Ha Bn Chilean Walnuts,b'MRP \xe2\x82\xb9625'
3,Medjoul Super Jumbo Dates,b'MRP \xe2\x82\xb93440'
4,Ha Bn Mamra Almonds,b'MRP \xe2\x82\xb91200'
5,Healthy Alternatives Walnut Kernel ..,b'MRP \xe2\x82\xb9768'
6,Natures Figs 250G Pouch,b'MRP \xe2\x82\xb91119'
7,Natures Figs 500G Pouch,b'MRP \xe2\x82\xb92059'
8,Ha Bn Anjeer Aaa,b'MRP \xe2\x82\xb9900'
9,Healthy Alternatives Saudi Dates 50..,b'MRP \xe2\x82\xb9699'
10,Natures Pista 200G Pouch,b'MRP \xe2\x82\xb9789'
11,Conscious Food Organic Cashew Nuts ..,b'MRP \xe2\x82\xb9980'
12,Helthy Alternative Dates Medjoul 30..,b'MRP \xe2\x82\xb9649'
13,Natures Pistachio Irani 500G,b'MRP \xe2\x82\xb91219'
14,Conscious Food Organic Almonds 500G..,b'MRP \xe2\x82\xb9900'
15,Healthy Alternatives Almond Mamra 5..,b'MRP \xe2\x82\xb92299'
16,Ha Bn Khajoor Medjul,b'MRP \xe2\x82\xb9624.75'
17,Natures American Almond 500G,b'MRP \xe2\x82\xb9649'
18,Ajwa Dates,b'MRP \xe2\x82\xb92560'
19,Rostaa Trail Mix 340G,b'MRP \xe2\x82\xb9550'
20,Conscious Food Chia  Seeds 340G Pac..,b'MRP \xe2\x82\xb9340'
21,Medjoul Medium Dates,b'MRP \xe2\x82\xb92240'
22,Healthy Alternatives Almond Mamra 2..,b'MRP \xe2\x82\xb91189'
23,Medjoul Bon Bon Dates,b'MRP \xe2\x82\xb93440'
24,Rostaa Berrylicious Assorted Berrie..,b'MRP \xe2\x82\xb9395'
25,Natures Almond American 250G,b'MRP \xe2\x82\xb9349'
26,Natures Pista Irani 250G,b'MRP \xe2\x82\xb9649'
27,Natures Cashew Whole 210 100G,b'MRP \xe2\x82\xb9229'
28,Natures Cashew Whole 210 250G,b'MRP \xe2\x82\xb9529'
29,Ha Bn American Almonds Premium,b'MRP \xe2\x82\xb9400'
