,Product Name,Prices
0,Certified A2 Ghee (500g),"Rs. 1,500.00"
1,Certified A2 Ghee (500g),"Rs. 1,500.00"
2,Organic Jaggery Powder,Rs. 120.00
3,Organic Jaggery Powder,Rs. 120.00
4,Organic Wild Honey (500g),Rs. 399.00
5,Organic Brown Sugar,Rs. 80.00
6,Organic Natural Cashews,Rs. 600.00
7,Organic Roasted Mixed Nuts,Rs. 699.00
8,Organic Natural Almonds,Rs. 600.00
9,Organic Roasted Peanuts,Rs. 199.00
10,Organic Roasted Cashews (250g),Rs. 520.00
11,Organic Roasted Cashews (100g),Rs. 299.00
12,Organic Roasted Almonds (250g),Rs. 520.00
13,Organic Roasted Almonds (100g),Rs. 299.00
14,Organic Walnuts,Rs. 650.00
15,Certified A2 Ghee (500g),"Rs. 1,500.00"
16,Certified A2 Ghee (500g),"Rs. 1,500.00"
17,Organic Jaggery Powder,Rs. 120.00
18,Certified A2 Ghee (500g),"Rs. 1,500.00"
19,Certified A2 Ghee (500g),"Rs. 1,500.00"
20,Organic Jaggery Powder,Rs. 120.00
